sample	variable	RCbray	processRcbray	bNTIvalue	processNTI	group	genotype	compartment	bNTIgroup
RH_En_Col_0_DT_1	RH_En_Col_0_DT_2	-1	Homogeneous_selection	-2.220861135	Homogeneous_selection	DT	Col-0	En	RH_En_DT_Col_0
RH_En_Col_0_DT_1	RH_En_Col_0_DT_3	-0.997997998	Homogeneous_selection	-2.74467215	Homogeneous_selection	DT	Col-0	En	RH_En_DT_Col_0
RH_En_Col_0_DT_1	RH_En_Col_0_DT_4	-0.971971972	Homogenizing_dispersal	-1.121322519	stochastic	DT	Col-0	En	RH_En_DT_Col_0
RH_En_Col_0_DT_1	RH_En_Col_0_DT_6	-0.993993994	Homogeneous_selection	-2.867880223	Homogeneous_selection	DT	Col-0	En	RH_En_DT_Col_0
RH_En_Col_0_DT_2	RH_En_Col_0_DT_3	-1	Homogeneous_selection	-2.653165556	Homogeneous_selection	DT	Col-0	En	RH_En_DT_Col_0
RH_En_Col_0_DT_2	RH_En_Col_0_DT_4	-1	Homogenizing_dispersal	-1.361402554	stochastic	DT	Col-0	En	RH_En_DT_Col_0
RH_En_Col_0_DT_2	RH_En_Col_0_DT_6	-1	Homogeneous_selection	-3.067905603	Homogeneous_selection	DT	Col-0	En	RH_En_DT_Col_0
RH_En_Col_0_DT_3	RH_En_Col_0_DT_4	-0.991991992	Homogenizing_dispersal	-1.186227962	stochastic	DT	Col-0	En	RH_En_DT_Col_0
RH_En_Col_0_DT_3	RH_En_Col_0_DT_6	-1	Homogeneous_selection	-2.960973457	Homogeneous_selection	DT	Col-0	En	RH_En_DT_Col_0
RH_En_Col_0_DT_4	RH_En_Col_0_DT_6	-0.975975976	Homogenizing_dispersal	-1.957241718	stochastic	DT	Col-0	En	RH_En_DT_Col_0
RH_En_Col_0_WT_2	RH_En_Col_0_WT_3	-0.995995996	Homogeneous_selection	-2.960861636	Homogeneous_selection	WT	Col-0	En	RH_En_WT_Col_0
RH_En_Col_0_WT_2	RH_En_Col_0_WT_4	-0.985985986	Homogenizing_dispersal	-0.731739587	stochastic	WT	Col-0	En	RH_En_WT_Col_0
RH_En_Col_0_WT_2	RH_En_Col_0_WT_5	-1	Homogeneous_selection	-2.836416963	Homogeneous_selection	WT	Col-0	En	RH_En_WT_Col_0
RH_En_Col_0_WT_2	RH_En_Col_0_WT_6	-0.997997998	Homogeneous_selection	-2.850429119	Homogeneous_selection	WT	Col-0	En	RH_En_WT_Col_0
RH_En_Col_0_WT_3	RH_En_Col_0_WT_4	-1	Homogenizing_dispersal	-0.559485979	stochastic	WT	Col-0	En	RH_En_WT_Col_0
RH_En_Col_0_WT_3	RH_En_Col_0_WT_5	-0.96996997	Homogenizing_dispersal	-1.184683888	stochastic	WT	Col-0	En	RH_En_WT_Col_0
RH_En_Col_0_WT_3	RH_En_Col_0_WT_6	-0.91991992	Drift	-1.621365554	stochastic	WT	Col-0	En	RH_En_WT_Col_0
