ASVID,RH_En_Col_0_DT_1,RH_En_Col_0_DT_2,RH_En_Col_0_DT_3,RH_En_Col_0_DT_4,RH_En_Col_0_DT_6,RH_En_Col_0_WT_2,RH_En_Col_0_WT_3,RH_En_Col_0_WT_4,RH_En_Col_0_WT_5,RH_En_Col_0_WT_6,RH_En_gl2_5_DT_1,RH_En_gl2_5_DT_2,RH_En_gl2_5_DT_3,RH_En_gl2_5_DT_4,RH_En_gl2_5_DT_6,RH_En_gl2_5_WT_1,RH_En_gl2_5_WT_2,RH_En_gl2_5_WT_3,RH_En_gl2_5_WT_4,RH_En_gl2_5_WT_5,RH_En_rsl2rsl4_DT_1,RH_En_rsl2rsl4_DT_3,RH_En_rsl2rsl4_DT_4,RH_En_rsl2rsl4_DT_5,RH_En_rsl2rsl4_DT_6,RH_En_rsl2rsl4_WT_1,RH_En_rsl2rsl4_WT_2,RH_En_rsl2rsl4_WT_3,RH_En_rsl2rsl4_WT_5,RH_En_rsl2rsl4_WT_6,RH_Rhi_BS_DT_2,RH_Rhi_BS_DT_3,RH_Rhi_BS_DT_4,RH_Rhi_BS_DT_5,RH_Rhi_BS_DT_6,RH_Rhi_BS_WT_1,RH_Rhi_BS_WT_3,RH_Rhi_BS_WT_4,RH_Rhi_BS_WT_5,RH_Rhi_BS_WT_6,RH_Rhi_Col_0_DT_1,RH_Rhi_Col_0_DT_2,RH_Rhi_Col_0_DT_3,RH_Rhi_Col_0_DT_4,RH_Rhi_Col_0_DT_6,RH_Rhi_Col_0_WT_2,RH_Rhi_Col_0_WT_3,RH_Rhi_Col_0_WT_4,RH_Rhi_Col_0_WT_5,RH_Rhi_Col_0_WT_6,RH_Rhi_gl2_5_DT_1,RH_Rhi_gl2_5_DT_2,RH_Rhi_gl2_5_DT_4,RH_Rhi_gl2_5_DT_5,RH_Rhi_gl2_5_DT_6,RH_Rhi_gl2_5_WT_1,RH_Rhi_gl2_5_WT_2,RH_Rhi_gl2_5_WT_3,RH_Rhi_gl2_5_WT_4,RH_Rhi_gl2_5_WT_5,RH_Rhi_rsl2rsl4_DT_1,RH_Rhi_rsl2rsl4_DT_2,RH_Rhi_rsl2rsl4_DT_3,RH_Rhi_rsl2rsl4_DT_5,RH_Rhi_rsl2rsl4_DT_6,RH_Rhi_rsl2rsl4_WT_1,RH_Rhi_rsl2rsl4_WT_2,RH_Rhi_rsl2rsl4_WT_3,RH_Rhi_rsl2rsl4_WT_5,RH_Rhi_rsl2rsl4_WT_6
ASV3,57,0,9,22,0,16,74,88,14,10,19,81,19,18,15,54,105,289,255,98,13,6,13,11,4,22,21,24,60,14,246,156,254,241,219,235,185,201,212,241,8050,6013,7893,16480,3618,2877,12945,1805,949,1175,11941,84648,9125,16682,6079,1330,2452,7663,1985,1581,4153,23510,1015,2771,6807,2918,1995,5629,1181,3877
ASV4,1311,1329,1695,1430,2822,460,1536,2021,784,367,2625,2153,1187,2211,1861,808,2154,2708,5761,3318,2588,604,3235,1577,2699,1907,577,725,520,875,118,85,119,107,113,130,93,95,87,110,1007,1136,1423,565,2207,4983,1845,2574,4001,3079,853,325,733,892,1091,3497,4864,2858,2579,3352,1062,910,365,493,1039,7004,3218,4105,5686,6555
ASV5,0,0,0,0,0,0,54,0,127,0,28,0,0,0,0,47,63,48,125,52,0,0,0,0,0,0,0,0,0,0,136,90,157,160,121,165,127,111,141,141,691,908,4468,11795,962,233,2346,186,1022,217,10031,785,1190,1210,692,251,493,440,447,288,6073,1028,591,724,66963,828,490,236,322,652
ASV6,38,0,48,24,29,0,42,43,0,0,47,92,29,55,16,52,53,264,120,75,43,16,58,0,0,0,0,0,0,0,2856,1130,2886,3974,2210,4701,2880,4263,4640,2666,1591,2408,4400,1326,3135,1804,2489,3659,2575,2552,3179,1205,1149,2158,4214,2568,2993,4974,3838,3990,2794,3152,2052,1878,1518,2579,2450,4200,3029,3931
ASV7,238,250,229,181,357,343,376,679,565,352,387,595,285,463,257,480,1101,1165,2286,816,232,288,615,254,375,1219,932,365,273,339,259,173,229,263,175,263,237,241,254,246,3150,3528,3428,1977,5607,2454,2003,1856,3418,2624,2273,1550,3132,3929,2155,1928,3780,2055,2139,1926,3402,5340,2395,1403,2837,5526,2907,2191,1962,2946
ASV8,0,0,0,4,0,0,9,0,11,0,49,27,0,12,0,32,49,127,171,88,0,0,14,6,0,16,0,0,0,0,3699,3882,4417,4575,4494,2684,3014,2546,3268,3853,1201,3364,3068,1215,2114,2910,1449,2435,1908,2788,3261,1277,1086,2156,2635,3190,2463,3526,2827,1981,2466,2468,1977,1283,1193,2133,1686,2633,2638,2574
ASV9,0,0,8,17,14,0,124,0,9,0,9,13,0,35,0,24,52,108,114,63,18,0,0,0,1,0,15,14,16,0,100,92,106,118,88,136,64,83,99,93,2236,1046,2607,8048,6067,368,13875,241,369,305,722,654,3554,1463,891,247,781,638,549,454,18702,1637,465,20299,1009,1387,405,516,335,850
ASV10,183,29,30,96,69,58,156,53,93,86,211,213,62,623,79,130,294,966,2377,448,328,120,467,665,733,458,335,237,112,166,78,57,71,68,70,59,59,47,63,63,418,326,442,460,893,1162,1259,929,1895,2378,629,206,1882,1594,486,988,1882,2808,4097,1758,1218,771,490,1406,1326,3327,3084,2636,2416,3065
ASV11,0,0,0,0,0,0,13,0,0,0,0,0,0,0,13,0,33,109,26,0,0,0,31,9,0,19,0,0,0,0,62,54,67,62,48,60,58,48,65,59,8701,463,728,7033,2564,333,605,161,902,147,689,327,2910,585,6338,194,653,786,185,252,533,391,406,13724,1132,914,1028,375,157,254
ASV12,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,64,47,61,73,62,56,57,55,50,49,1255,928,5308,1290,403,134,372,95,152,117,376,286,32521,380,761,123,297,231,195,123,436,358,252,390,816,285,124,128,142,235
