ASVID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV3	Bacteria	Proteobacteria	Pseudomonadales	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unclassified
ASV4	Bacteria	Proteobacteria	Burkholderiales	Burkholderiales	Oxalobacteraceae	Massilia	Unclassified
ASV5	Bacteria	Proteobacteria	Pseudomonadales	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unclassified
ASV6	Bacteria	Firmicutes	Bacillales	Bacillales	Bacillaceae	Bacillus	Unclassified
ASV7	Bacteria	Proteobacteria	Rhizobiales	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	Unclassified
ASV8	Bacteria	Actinobacteriota	Rubrobacterales	Rubrobacterales	Rubrobacteriaceae	Rubrobacter	Unclassified
ASV9	Bacteria	Proteobacteria	Pseudomonadales	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unclassified
ASV10	Bacteria	Proteobacteria	Burkholderiales	Burkholderiales	Comamonadaceae	f_Comamonadaceae|g_Unclassified	Unclassified
ASV11	Bacteria	Proteobacteria	Pseudomonadales	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unclassified
ASV12	Bacteria	Proteobacteria	Pseudomonadales	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unclassified
ASV13	Bacteria	Proteobacteria	Rhizobiales	Rhizobiales	Xanthobacteraceae	f_Xanthobacteraceae|g_Unclassified	Unclassified
ASV14	Bacteria	Proteobacteria	Burkholderiales	Burkholderiales	Comamonadaceae	f_Comamonadaceae|g_Unclassified	Unclassified
ASV15	Bacteria	Bacteroidota	Chitinophagales	Chitinophagales	Chitinophagaceae	Lacibacter	Lacibacter_daechungensis
ASV16	Bacteria	Proteobacteria	Rhizobiales	Rhizobiales	Methyloligellaceae	f_Methyloligellaceae|g_Unclassified	Unclassified
ASV17	Bacteria	Proteobacteria	Rhizobiales	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	Unclassified
ASV18	Bacteria	Actinobacteriota	Rubrobacterales	Rubrobacterales	Rubrobacteriaceae	Rubrobacter	uncultured_organism
