plants,batch,treat,isolates,PRL,freshweight
1,1,RM,Buffer,9.331,43.9
2,1,RM,Buffer,9.402,41.3
3,1,RM,Buffer,9.133,43.7
4,1,RM,Buffer,9.247,43.6
5,1,RM,Buffer,9.058,42.2
6,1,RM,gl2,9.117,47.2
7,1,RM,gl2,9.2,57.6
8,1,RM,gl2,8.8,50.6
9,1,RM,gl2,9.139,41.5
10,1,RM,gl2,8.992,40.9
11,1,RM,AR,8.92,51.4
12,1,RM,AR,9.058,42.9
13,1,RM,AR,9.146,49.8
14,1,RM,AR,9.139,44.2
15,1,RM,AR,8.82,45.2
16,1,RM,DER,8.475,58.8
17,1,RM,DER,8.808,53.3
18,1,RM,DER,9.528,58.9
19,1,RM,DER,9.583,52
20,1,RM,DER,8.593,52.9
21,1,RM,4F10,9.247,47.9
22,1,RM,4F10,9.414,54.7
23,1,RM,4F10,8.676,48.6
24,1,RM,4F10,9.508,47.2
25,1,RM,4F10,8.899,47.8
26,1,RM,5A12,9.067,47.8
27,1,RM,5A12,8.972,42.2
28,1,RM,5A12,9.193,47.1
29,1,RM,5A12,8.982,41
30,1,RM,5A12,8.873,41.7
31,1,RM,1E5,9.114,42.5
32,1,RM,1E5,8.981,41.7
33,1,RM,1E5,9.187,46.9
34,1,RM,1E5,9.04,54.3
35,1,RM,1E5,8.846,46.9
36,1,RM,10C12,9.226,43
37,1,RM,10C12,9.478,44.7
38,1,RM,10C12,9.22,47.3
39,1,RM,10C12,9.392,53.8
40,1,RM,10C12,7.958,46.5
41,1,RM,10D7,9.403,43.4
42,1,RM,10D7,9.345,37.8
43,1,RM,10D7,9.372,40.1
44,1,RM,10D7,9.499,43.2
45,1,RM,10D7,9.135,38.7
46,1,RM,2D3,9.056,46.5
47,1,RM,2D3,8.937,46.7
48,1,RM,2D3,9.036,48.2
49,1,RM,2D3,8.963,44
50,1,RM,2D3,9.053,37.7
51,1,RM,22D6,9.364,43.1
52,1,RM,22D6,9.349,47.7
53,1,RM,22D6,9.603,46.4
54,1,RM,22D6,9.421,45.2
55,1,RM,22D6,9.057,51.8
56,1,RM,18F2,10.109,29.1
57,1,RM,18F2,8.967,24.9
58,1,RM,18F2,9.006,23.5
59,1,RM,18F2,9.238,21.7
60,1,RM,18F2,NA,23.7
61,1,RM,21B8,9.475,54.3
62,1,RM,21B8,8.522,48.6
63,1,RM,21B8,9.007,42.8
64,1,RM,21B8,8.665,43.9
65,1,RM,21B8,8.287,41.4
66,1,RM,25F3,9.172,46.3
67,1,RM,25F3,9.177,41.6
68,1,RM,25F3,9.285,40.7
69,1,RM,25F3,9.153,39.2
70,1,RM,25F3,8.922,40.2
71,1,RP,Buffer,4.238,11
72,1,RP,Buffer,4.176,11.1
73,1,RP,Buffer,3.87,10.5
74,1,RP,Buffer,4.252,12.6
75,1,RP,Buffer,4.387,11.8
76,1,RP,gl2,5.862,23.4
77,1,RP,gl2,6.016,20.5
78,1,RP,gl2,5.433,21.3
79,1,RP,gl2,5.278,22.2
80,1,RP,gl2,4.891,21.2
81,1,RP,AR,4.777,18
82,1,RP,AR,4.833,19.6
83,1,RP,AR,5.395,20.1
84,1,RP,AR,4.632,19.8
85,1,RP,AR,4.839,19.8
86,1,RP,DER,5.296,19.4
87,1,RP,DER,5.565,18.2
88,1,RP,DER,5.033,19.7
89,1,RP,DER,5.225,20.4
90,1,RP,DER,4.463,16.8
91,1,RP,4F10,7.822,19.7
92,1,RP,4F10,7.95,19.4
93,1,RP,4F10,7.655,19.9
94,1,RP,4F10,8.091,22.7
95,1,RP,4F10,7.665,24.7
96,1,RP,5A12,9.5,18.6
97,1,RP,5A12,9.049,17.9
98,1,RP,5A12,9.009,17.5
99,1,RP,5A12,9.114,15.6
100,1,RP,5A12,8.729,16.7
101,1,RP,1.00E+05,5.201,17.2
102,1,RP,1.00E+05,5.665,18.5
103,1,RP,1.00E+05,5.994,20.1
104,1,RP,1.00E+05,5.683,21
105,1,RP,1.00E+05,5.422,20.9
106,1,RP,10C12,4.698,15
107,1,RP,10C12,4.796,14.5
108,1,RP,10C12,4.669,15.3
109,1,RP,10C12,5.23,20.5
110,1,RP,10C12,4.885,17.6
111,1,RP,10D7,5.431,18.4
112,1,RP,10D7,5.833,16.8
113,1,RP,10D7,5.466,15.9
114,1,RP,10D7,5.202,16.4
115,1,RP,10D7,4.797,15.8
116,1,RP,2D3,4.922,15.4
117,1,RP,2D3,5.268,17.1
118,1,RP,2D3,5.592,16
119,1,RP,2D3,5.676,15.1
120,1,RP,2D3,5.393,15.1
121,1,RP,22D6,3.214,17.4
122,1,RP,22D6,3.433,18.3
123,1,RP,22D6,3.48,19.5
124,1,RP,22D6,3.48,16.7
125,1,RP,22D6,3.355,19.8
136,1,RP,25F3,3.481,13.4
137,1,RP,25F3,3.794,13.2
138,1,RP,25F3,3.991,10.9
139,1,RP,25F3,3.897,10.6
140,1,RP,25F3,3.913,11.3
141,2,RM,Buffer,8.956,44.9
142,2,RM,Buffer,8.746,51.4
143,2,RM,Buffer,9.295,57.7
144,2,RM,Buffer,9.292,48.6
145,2,RM,Buffer,9.238,42.8
146,2,RM,gl2,9.06,56.6
147,2,RM,gl2,9.001,41.2
148,2,RM,gl2,9.282,60.8
149,2,RM,gl2,9.258,53.4
150,2,RM,gl2,9.341,48.5
151,2,RM,AR,9.131,67.2
152,2,RM,AR,8.903,45.7
153,2,RM,AR,9.089,63.3
154,2,RM,AR,8.984,49.4
155,2,RM,AR,9.114,56.9
156,2,RM,DER,8.569,73
157,2,RM,DER,8.933,72.3
158,2,RM,DER,9.109,64.2
159,2,RM,DER,9.042,52.8
160,2,RM,DER,9.194,67.3
161,2,RM,4F10,9.115,62
162,2,RM,4F10,9.047,68.1
163,2,RM,4F10,8.933,66.3
164,2,RM,4F10,9.134,63.3
165,2,RM,4F10,9.276,65.5
166,2,RM,5A12,8.926,65
167,2,RM,5A12,9.119,57.8
168,2,RM,5A12,9.182,57.6
169,2,RM,5A12,9.165,46
170,2,RM,5A12,9.053,62.7
171,2,RM,1.00E+05,9.087,63.7
172,2,RM,1.00E+05,8.946,57.9
173,2,RM,1.00E+05,9.228,59.9
174,2,RM,1.00E+05,9.312,60.8
175,2,RM,1.00E+05,9.305,56.4
176,2,RM,10C12,8.974,57.4
177,2,RM,10C12,9.054,48.9
178,2,RM,10C12,9.088,53.1
179,2,RM,10C12,9.188,48.7
