ID	Well1	Kingdom	Phylum	Class	Order	Family	Genus	Species	ID
Sphingomonas sp. 25G10	25_G10	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Unassigned	Sphingomonas sp. 25G10
Brevundimonas sp. 20C9	20_C9	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Unassigned	Brevundimonas sp. 20C9
Rhodanobacter sp. 18E3	18_E3	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Rhodanobacter	s:uncultured_gamma_proteobacterium	Rhodanobacter sp. 18E3
Comamonadaceae_Unassigned sp. 20E7	20_E7	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Comamonadaceae_Unassigned	Unassigned	Comamonadaceae_Unassigned sp. 20E7
Aquincola sp. 1B11	1_B11	Bacteria	Betaproteobacteria	Betaproteobacteria	Burkholderiales	Burkholderialesgeneraincertaesedis	Aquincola	unclassifiedAquincola	Aquincola sp. 1B11
Burkholderia sp. 1C12	1_C12	Bacteria	Betaproteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	unclassifiedBurkholderia	Burkholderia sp. 1C12
Sphingomonas sp. 9H7	9_H7	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	unclassifiedSphingomonas	Sphingomonas sp. 9H7
Pseudoxanthomonas sp. 4B11	4_B11	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Pseudoxanthomonas	Unassigned	Pseudoxanthomonas sp. 4B11
Ideonella sp. 1E4	1_E4	Bacteria	Betaproteobacteria	Betaproteobacteria	Burkholderiales	Burkholderialesgeneraincertaesedis	Ideonella	unclassifiedIdeonella	Ideonella sp. 1E4
Ferrovibrio sp. 2A6	2_A6	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Ferrovibrionales	Ferrovibrionaceae	Ferrovibrio	Unassigned	Ferrovibrio sp. 2A6
Novosphingobium sp. 2D8	2_D8	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	Unassigned	Novosphingobium sp. 2D8
Bradyrhizobium sp. 2H8	2_H8	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	Unassigned	Bradyrhizobium sp. 2H8
Variovorax sp. 20F8	20_F8	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	Unassigned	Variovorax sp. 20F8
Lysobacter sp. 19G9	19_G9	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter	Unassigned	Lysobacter sp. 19G9
Cupriavidus sp. 7G4	7_G4	Bacteria	Betaproteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Unassigned	Cupriavidus sp. 7G4
Phenylobacterium sp. 7G12	7_G12	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	Unassigned	Phenylobacterium sp. 7G12
Ralstonia sp. 20A12	20_A12	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Unassigned	Ralstonia sp. 20A12
Phenylobacterium sp. 21F8	21_F8	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	Unassigned	Phenylobacterium sp. 21F8
Cupriavidus sp. 20B10	20_B10	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Unassigned	Cupriavidus sp. 20B10
Phenylobacterium sp. 20C7	20_C7	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	Unassigned	Phenylobacterium sp. 20C7
Acinetobacter sp. 20E2	20_E2	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Unassigned	Acinetobacter sp. 20E2
