ID	RH_En_Col_0_DT_2	RH_En_Col_0_DT_3	RH_En_Col_0_DT_6	RH_En_gl2_DT_1	RH_En_gl2_DT_4	RH_En_gl2_DT_6	RH_En_rsl2rsl4_DT_1	RH_En_rsl2rsl4_DT_3	RH_En_rsl2rsl4_DT_5	RH_Rhi_Col_0_DT_2	RH_Rhi_Col_0_DT_3	RH_Rhi_Col_0_DT_6	RH_Rhi_gl2_DT_1	RH_Rhi_gl2_DT_4	RH_Rhi_gl2_DT_6	RH_Rhi_rsl2rsl4_DT_1	RH_Rhi_rsl2rsl4_DT_3	RH_Rhi_rsl2rsl4_DT_5
K00001	392.089042	480.899536	389.424026	344.17455	350.671116	412.53983	440.96114	453.762061	488.434511	436.164322	430.828185	480.699338	428.911921	456.197785	462.693415	462.803302	467.582361	468.121006
K00002	8.3651	5.420259	3.728943	5.76254	4.879948	3.780903	8.634827	7.294741	11.345366	9.398215	10.099126	10.047246	11.857165	11.312415	6.988946	13.385513	9.584741	8.028623
K00003	245.714597	234.577193	257.975021	229.496754	220.001013	239.187523	213.698262	234.49899	235.426914	232.871828	227.205623	240.8347	217.361535	222.273248	240.777872	227.669628	219.112692	226.153945
K00004	102.202232	108.7629	85.289247	81.290626	75.728529	76.522743	109.482231	79.783587	112.004884	109.237273	92.867046	98.641311	106.878499	94.30816	100.707476	110.380016	107.898548	96.722635
K00005	2.087849	2.787773	6.083856	3.085346	5.203293	4.680291	1.933643	0.179109	1.037486	8.416483	9.518356	7.832911	13.052888	8.04929	8.291657	11.180427	6.693285	7.956388
K00006	0	0.064945	8.049579	0.291397	2.918078	0	0.703596	1.395422	0.129081	0.622482	1.123736	0.409839	0.310942	0.694618	0.366878	1.049296	0.542428	0.55608
K00007	17.428582	21.277431	29.443127	31.725228	36.385671	19.342095	8.282188	17.000345	13.660107	4.241747	6.053956	6.653512	3.717368	8.583025	3.294333	2.984512	2.109962	2.854276
K00008	64.335674	138.204426	81.25301	105.890531	83.04994	87.853297	109.570719	101.99165	110.85536	195.036304	210.96704	191.000501	221.219817	177.905773	219.04384	214.150108	217.291951	192.553136
K00009	16.396563	19.800215	22.853226	20.876388	23.028273	35.096802	12.451704	24.946407	12.355131	23.729129	30.194654	19.051697	26.732086	21.199142	25.292621	22.196909	17.932801	20.100137
K00010	112.171214	133.81273	143.223669	157.558765	132.028173	134.909125	112.806461	147.643248	115.712183	175.442091	185.88898	169.66739	179.227802	149.29072	152.953854	164.119575	136.297648	135.950692
K00011	17.865503	11.565069	15.116417	21.873172	10.837684	7.645941	15.981078	13.017933	8.979831	8.990388	6.675431	12.478741	14.054415	10.129111	6.62212	6.786696	9.664476	9.120528
