plants,date,group,treat,replication,PRL,freshweight
46,ZW,RM,buffer,1,8.645,41.6
47,ZW,RM,buffer,2,8.127,58.6
48,ZW,RM,buffer,3,7.695,52.9
49,ZW,RM,buffer,4,8.459,46.9
50,ZW,RM,buffer,5,7.537,47.7
51,ZW,RM,buffer,6,9.156,52.4
52,ZW,RM,buffer,7,8.189,36.6
53,ZW,RM,buffer,8,8.559,51.9
54,ZW,RM,buffer,9,8.55,46
55,ZW,RM,buffer,10,8.821,45.4
56,ZW,RM,WT_4F10,1,9.323,66.6
57,ZW,RM,WT_4F10,2,8.412,47.8
58,ZW,RM,WT_4F10,3,8.879,50
59,ZW,RM,WT_4F10,4,9.219,52
60,ZW,RM,WT_4F10,5,9.725,67.3
61,ZW,RM,WT_4F10,6,8.762,63.1
62,ZW,RM,WT_4F10,7,9.072,70.9
63,ZW,RM,WT_4F10,8,8.81,58.1
64,ZW,RM,WT_4F10,9,7.79,57.4
65,ZW,RM,WT_4F10,10,9.255,65.9
66,ZW,RM,ocd_4F10,1,8.804,57.2
67,ZW,RM,ocd_4F10,2,9.103,54.9
68,ZW,RM,ocd_4F10,3,8.501,60.5
69,ZW,RM,ocd_4F10,4,8.727,64.9
70,ZW,RM,ocd_4F10,5,9.695,68.7
71,ZW,RM,ocd_4F10,6,9.389,73.3
72,ZW,RM,ocd_4F10,7,9.025,67.3
73,ZW,RM,ocd_4F10,8,8.624,52
74,ZW,RM,ocd_4F10,9,8.508,66.2
75,ZW,RM,ocd_4F10,10,9.585,47.6
76,ZW,RP,WT_4F10,6,8.376,41.1
77,ZW,RP,WT_4F10,7,8.399,46.6
78,ZW,RP,WT_4F10,8,9.278,49.1
79,ZW,RP,WT_4F10,9,9.089,42.9
80,ZW,RP,WT_4F10,10,8.729,46.5
81,ZW,RP,buffer,1,4.813,16.3
82,ZW,RP,buffer,2,4.676,23.4
83,ZW,RP,buffer,3,4.753,17.2
84,ZW,RP,buffer,4,5.105,19.8
85,ZW,RP,buffer,5,4.941,14.6
86,ZW,RP,WT_4F10,1,8.504,46.7
87,ZW,RP,WT_4F10,2,8.03,42.1
88,ZW,RP,WT_4F10,3,8.988,45.8
89,ZW,RP,WT_4F10,4,8.766,40.3
90,ZW,RP,WT_4F10,5,9.683,43.5
91,ZW,RP,WT_4F10,6,8.376,41.1
92,ZW,RP,WT_4F10,7,8.399,46.6
93,ZW,RP,WT_4F10,8,9.278,49.1
94,ZW,RP,WT_4F10,9,9.089,42.9
95,ZW,RP,WT_4F10,10,8.729,46.5
96,ZW,RP,ocd_4F10,1,7.711,41.9
97,ZW,RP,ocd_4F10,2,8.008,26.7
98,ZW,RP,ocd_4F10,3,8.112,34.8
99,ZW,RP,ocd_4F10,4,7.818,25.7
100,ZW,RP,ocd_4F10,5,6.749,24.6
101,ZW,RP,ocd_4F10,6,6.7,39.4
102,ZW,RP,ocd_4F10,7,6.845,38.4
103,ZW,RP,ocd_4F10,8,8.459,30.5
104,ZW,RP,ocd_4F10,9,6.953,25.8
105,ZW,RP,ocd_4F10,10,7.331,42.7
