plants,date,group,treat,replication,PRL,freshweight
1,ZH1,RP,Buffer,1,3.5078,5.5
2,ZH1,RP,Buffer,2,3.3974,6.5
3,ZH1,RP,Buffer,3,3.8618,5.7
4,ZH1,RP,Buffer,4,3.3435,5
5,ZH1,RP,Buffer,5,3.7549,5.5
6,ZH1,RP,Buffer,6,3.527,3.7
7,ZH1,RP,Buffer,7,3.7048,3.3
8,ZH1,RP,Buffer,8,3.8846,4.2
9,ZH1,RP,Buffer,9,3.3685,4.7
10,ZH1,RP,Buffer,10,3.6784,5.2
11,ZH1,RP,WT_4F10,1,6.9041,12.6
12,ZH1,RP,WT_4F10,2,7.5453,12.3
13,ZH1,RP,WT_4F10,3,7.2102,14
14,ZH1,RP,WT_4F10,4,6.6265,9.5
15,ZH1,RP,WT_4F10,5,6.9803,11.2
16,ZH1,RP,WT_4F10,6,6.32,10.6
17,ZH1,RP,WT_4F10,7,6.4362,11.4
18,ZH1,RP,WT_4F10,8,6.7096,12.1
19,ZH1,RP,WT_4F10,9,6.7006,11.7
20,ZH1,RP,WT_4F10,10,6.8997,11
21,ZH1,RP,ocd_4F10,1,6.5521,11.2
22,ZH1,RP,ocd_4F10,2,6.3948,9.6
23,ZH1,RP,ocd_4F10,3,5.3597,10.6
24,ZH1,RP,ocd_4F10,4,6.8331,11.5
25,ZH1,RP,ocd_4F10,5,6.5538,13.5
26,ZH1,RP,ocd_4F10,6,5.5685,10
27,ZH1,RP,ocd_4F10,7,6.102,10.8
28,ZH1,RP,ocd_4F10,8,5.9059,10.4
29,ZH1,RP,ocd_4F10,9,6.3114,8.9
30,ZH1,RP,ocd_4F10,10,6.0808,8.9
31,ZH1,RM,Buffer,1,7.6941,31.7
32,ZH1,RM,Buffer,2,8.2173,27.1
33,ZH1,RM,Buffer,3,7.5647,23.7
34,ZH1,RM,Buffer,4,7.8803,25.9
35,ZH1,RM,Buffer,5,7.9706,28.8
36,ZH1,RM,WT_4F10,1,8.6943,28.5
37,ZH1,RM,WT_4F10,2,8.3607,36.2
38,ZH1,RM,WT_4F10,3,8.5822,27.8
39,ZH1,RM,WT_4F10,4,9.0925,35.9
40,ZH1,RM,WT_4F10,5,8.4726,32.5
41,ZH1,RM,ocd_4F10,1,8.4748,32.5
42,ZH1,RM,ocd_4F10,2,8.3673,27.4
43,ZH1,RM,ocd_4F10,3,8.1838,35.4
44,ZH1,RM,ocd_4F10,4,8.6828,35
