num	strain	time	growth_rate
1	4F10	4h	0.09
2	4F10	4h	0.085
3	4F10	4h	0.117
4	ocd_4F10	4h	0.061
5	ocd_4F10	4h	0.048
6	ocd_4F10	4h	0.045
7	4F10	8h	0.29
8	4F10	8h	0.273
9	4F10	8h	0.269
10	ocd_4F10	8h	0.156
11	ocd_4F10	8h	0.146
12	ocd_4F10	8h	0.158
13	4F10	12h	0.965
14	4F10	12h	0.96
15	4F10	12h	0.945
16	ocd_4F10	12h	0.518
17	ocd_4F10	12h	0.505
18	ocd_4F10	12h	0.538
19	4F10	24h	1.487
20	4F10	24h	1.447
21	4F10	24h	1.511
22	ocd_4F10	24h	1.32
23	ocd_4F10	24h	1.348
24	ocd_4F10	24h	1.377
