num	name	treat	genotype	pot	date	water_content
1	Wg1	control	gl2	1	11_01	0.809777462
2	Wg2	control	gl2	2	11_01	0.8200453
3	Wg3	control	gl2	3	11_01	0.818792738
4	Wg4	control	gl2	4	11_01	0.852537723
5	Wg5	control	gl2	5	11_01	0.753812884
6	Wc1	control	Col-0	1	11_01	0.957971355
7	Wc2	control	Col-0	2	11_01	0.812542682
8	Wc3	control	Col-0	3	11_01	0.813047934
9	Wc4	control	Col-0	4	11_01	0.837236534
10	Wc5	control	Col-0	5	11_01	0.821193582
11	Wr1	control	rsl2rsl4	1	11_01	0.828919366
12	Wr2	control	rsl2rsl4	2	11_01	0.862206066
13	Wr3	control	rsl2rsl4	3	11_01	0.872513243
14	Wr4	control	rsl2rsl4	4	11_01	0.863546626
15	Wr5	control	rsl2rsl4	5	11_01	0.85866575
16	Dg1	drought	gl2	1	11_01	0.821875359
17	Dg2	drought	gl2	2	11_01	0.840486493
18	Dg3	drought	gl2	3	11_01	0.857328452
19	Dg4	drought	gl2	4	11_01	0.833950046
20	Dg5	drought	gl2	5	11_01	0.814186497
21	Dg6	drought	gl2	6	11_01	0.81934076
22	Dg7	drought	gl2	7	11_01	0.822270793
23	Dg8	drought	gl2	8	11_01	0.814027149
24	Dg9	drought	gl2	9	11_01	0.804617705
25	Dg10	drought	gl2	10	11_01	0.84155576
26	Dg11	drought	gl2	11	11_01	0.849078747
27	Dc1	drought	Col-0	1	11_01	0.82027806
28	Dc2	drought	Col-0	2	11_01	0.82350209
29	Dc3	drought	Col-0	3	11_01	0.794770482
30	Dc4	drought	Col-0	4	11_01	0.838907534
31	Dc5	drought	Col-0	5	11_01	0.839617203
32	Dc6	drought	Col-0	6	11_01	0.827713201
33	Dc7	drought	Col-0	7	11_01	0.807518627
34	Dc8	drought	Col-0	8	11_01	0.812535164
35	Dc9	drought	Col-0	9	11_01	0.817647059
36	Dc10	drought	Col-0	10	11_01	0.81311211
37	Dr1	drought	rsl2rsl4	1	11_01	0.822402786
38	Dr2	drought	rsl2rsl4	2	11_01	0.823731139
39	Dr3	drought	rsl2rsl4	3	11_01	0.845395894
40	Dr4	drought	rsl2rsl4	4	11_01	0.828226665
41	Dr5	drought	rsl2rsl4	5	11_01	0.822717502
42	Dr6	drought	rsl2rsl4	6	11_01	0.812937263
43	Dr7	drought	rsl2rsl4	7	11_01	0.83808146
44	Dr8	drought	rsl2rsl4	8	11_01	0.836073274
45	Dr9	drought	rsl2rsl4	9	11_01	0.825602342
46	Dr10	drought	rsl2rsl4	10	11_01	0.840869464
47	Wg1	control	gl2	1	11_03	0.669744318
48	Wg2	control	gl2	2	11_03	0.673725934
49	Wg3	control	gl2	3	11_03	0.680499882
50	Wg4	control	gl2	4	11_03	0.712848651
51	Wg5	control	gl2	5	11_03	0.607102208
52	Wc1	control	Col-0	1	11_03	0.698051186
53	Wc2	control	Col-0	2	11_03	0.65809242
54	Wc3	control	Col-0	3	11_03	0.665148582
55	Wc4	control	Col-0	4	11_03	0.695081967
56	Wc5	control	Col-0	5	11_03	0.667436223
57	Wr1	control	rsl2rsl4	1	11_03	0.701820761
