Plants, soil_type,group,treat,subgroup,genotype,weight
1,DS,DT,S,DT_S,cpc,122.9
2,DS,DT,S,DT_S,cpc,106.9
3,DS,DT,S,DT_S,cpc,116.9
4,DS,DT,S,DT_S,cpc,99.6
5,DS,DT,S,DT_S,cpc,66.9
6,DS,DT,S,DT_S,cpc,157.8
7,DS,DT,S,DT_S,cpc,160.2
8,DS,DT,S,DT_S,cpc,179.9
9,DS,DT,S,DT_S,cpc,59.9
10,DS,DT,S,DT_S,cpc,157.7
11,DS,DT,S,DT_S,cpc,84.8
12,DS,DT,S,DT_S,cpc,191
13,DS,DT,S,DT_S,cpc,151.5
14,DS,DT,S,DT_S,cpc,94.4
15,DS,DT,S,DT_S,cpc,151.7
16,DS,DT,S,DT_S,cpc,172.7
17,DS,DT,S,DT_S,cpc,89.8
18,DS,DT,S,DT_S,cpc,235.7
19,DS,DT,S,DT_S,cpc,160.2
20,DS,DT,S,DT_S,cpc,146.3
21,DS,DT,S,DT_S,wer,138.7
22,DS,DT,S,DT_S,wer,132.9
23,DS,DT,S,DT_S,wer,100.4
24,DS,DT,S,DT_S,wer,147.3
25,DS,DT,S,DT_S,wer,150.6
26,DS,DT,S,DT_S,wer,120.1
27,DS,DT,S,DT_S,wer,144
28,DS,DT,S,DT_S,wer,94.9
29,DS,DT,S,DT_S,wer,163.9
30,DS,DT,S,DT_S,wer,177.8
31,DS,DT,S,DT_S,wer,153.1
32,DS,DT,S,DT_S,wer,174.7
33,DS,DT,S,DT_S,wer,167.4
34,DS,DT,S,DT_S,wer,155.3
35,DS,DT,S,DT_S,wer,111.9
36,DS,DT,S,DT_S,wer,163.4
37,DS,DT,S,DT_S,wer,182.8
38,DS,DT,S,DT_S,wer,151.2
39,DS,DT,S,DT_S,wer,116.8
40,DS,DT,S,DT_S,wer,160.8
41,DS,DT,S,DT_S,rhd7,195.1
42,DS,DT,S,DT_S,rhd7,255.3
43,DS,DT,S,DT_S,rhd7,146.5
44,DS,DT,S,DT_S,rhd7,153.5
45,DS,DT,S,DT_S,rhd7,152
46,DS,DT,S,DT_S,rhd7,112.5
47,DS,DT,S,DT_S,rhd7,209.1
48,DS,DT,S,DT_S,rhd7,241.7
49,DS,DT,S,DT_S,rhd7,146.2
50,DS,DT,S,DT_S,rhd7,189.2
51,DS,DT,S,DT_S,rhd7,133.9
52,DS,DT,S,DT_S,rhd7,198.3
53,DS,DT,S,DT_S,rhd7,148.3
54,DS,DT,S,DT_S,rhd7,121.9
55,DS,DT,S,DT_S,rhd7,156.9
56,DS,DT,S,DT_S,rhd7,160.3
57,DS,DT,S,DT_S,rhd7,216
58,DS,DT,S,DT_S,rhd7,204.4
