Plants, soil_type,group,treat,subgroup,genotype,weight
1,HS,DT,S,DT_S,cpc,103.7
2,HS,DT,S,DT_S,cpc,104.5
3,HS,DT,S,DT_S,cpc,111.3
4,HS,DT,S,DT_S,cpc,82.5
5,HS,DT,S,DT_S,cpc,137.1
6,HS,DT,S,DT_S,cpc,145.6
7,HS,DT,S,DT_S,cpc,132.2
8,HS,DT,S,DT_S,cpc,146.9
9,HS,DT,S,DT_S,cpc,100
10,HS,DT,S,DT_S,cpc,125.6
11,HS,DT,S,DT_S,cpc,139.8
12,HS,DT,S,DT_S,cpc,129.2
13,HS,DT,S,DT_S,cpc,109.6
14,HS,DT,S,DT_S,cpc,151.7
15,HS,DT,S,DT_S,cpc,164.7
16,HS,DT,S,DT_S,cpc,118.6
17,HS,DT,S,DT_S,cpc,109
18,HS,DT,S,DT_S,cpc,141.8
19,HS,DT,S,DT_S,cpc,136.7
20,HS,DT,S,DT_S,cpc,138.6
21,HS,DT,S,DT_S,rhd7,118.7
22,HS,DT,S,DT_S,rhd7,151.2
23,HS,DT,S,DT_S,rhd7,136.9
24,HS,DT,S,DT_S,rhd7,128.5
25,HS,DT,S,DT_S,rhd7,104.6
26,HS,DT,S,DT_S,rhd7,125.2
27,HS,DT,S,DT_S,rhd7,143.7
28,HS,DT,S,DT_S,rhd7,166.2
29,HS,DT,S,DT_S,rhd7,133.5
30,HS,DT,S,DT_S,rhd7,117.6
31,HS,DT,S,DT_S,rhd7,118.8
32,HS,DT,S,DT_S,rhd7,87.6
33,HS,DT,S,DT_S,rhd7,161.7
34,HS,DT,S,DT_S,rhd7,120
35,HS,DT,S,DT_S,rhd7,114.2
36,HS,DT,S,DT_S,rhd7,187.6
37,HS,DT,S,DT_S,rhd7,129
38,HS,DT,S,DT_S,rhd7,121.8
39,HS,DT,S,DT_S,rhd7,120.8
40,HS,DT,S,DT_S,rhd7,134.3
41,HS,DT,S,DT_S,gl2,97.6
42,HS,DT,S,DT_S,gl2,104.6
43,HS,DT,S,DT_S,gl2,92.4
44,HS,DT,S,DT_S,gl2,105.1
45,HS,DT,S,DT_S,gl2,105.7
46,HS,DT,S,DT_S,gl2,122.7
47,HS,DT,S,DT_S,gl2,104.9
48,HS,DT,S,DT_S,gl2,85.4
49,HS,DT,S,DT_S,gl2,100.6
50,HS,DT,S,DT_S,gl2,104.2
51,HS,DT,S,DT_S,gl2,101.7
52,HS,DT,S,DT_S,gl2,117.6
53,HS,DT,S,DT_S,gl2,117.6
54,HS,DT,S,DT_S,gl2,138.7
55,HS,DT,S,DT_S,gl2,111.9
56,HS,DT,S,DT_S,gl2,118.5
