ASVID	igraph.degree	igraph.closeness	igraph.betweenness	igraph.cen.degree	network_group	group	genotype	compartment
ASV95	7	0.236024845	10.90890241	7	RH_DT_Col_0_En	DT	Col_0	En
ASV694	7	0.236024845	10.90890241	7	RH_DT_Col_0_En	DT	Col_0	En
ASV804	7	0.236024845	10.90890241	7	RH_DT_Col_0_En	DT	Col_0	En
ASV970	7	0.236024845	10.90890241	7	RH_DT_Col_0_En	DT	Col_0	En
ASV1376	7	0.236024845	10.90890241	7	RH_DT_Col_0_En	DT	Col_0	En
ASV1831	3	0.260869565	161.0076356	3	RH_DT_Col_0_En	DT	Col_0	En
ASV7	13	0.320224719	502.5356819	13	RH_DT_Col_0_En	DT	Col_0	En
ASV61	13	0.292307692	546.173237	13	RH_DT_Col_0_En	DT	Col_0	En
ASV69	10	0.281481481	290.4805995	10	RH_DT_Col_0_En	DT	Col_0	En
ASV149	14	0.324786325	213.9409501	14	RH_DT_Col_0_En	DT	Col_0	En
ASV152	13	0.320224719	502.5356819	13	RH_DT_Col_0_En	DT	Col_0	En
ASV891	7	0.293814433	476.5312453	7	RH_DT_Col_0_En	DT	Col_0	En
ASV1114	14	0.324786325	213.9409501	14	RH_DT_Col_0_En	DT	Col_0	En
ASV1546	14	0.324786325	213.9409501	14	RH_DT_Col_0_En	DT	Col_0	En
ASV2296	14	0.324786325	213.9409501	14	RH_DT_Col_0_En	DT	Col_0	En
ASV29	7	0.268867925	452.7166611	7	RH_DT_Col_0_En	DT	Col_0	En
ASV30	8	0.303191489	376.4064381	8	RH_DT_Col_0_En	DT	Col_0	En
ASV99	5	0.257336343	17.25093525	5	RH_DT_Col_0_En	DT	Col_0	En
ASV189	11	0.284289277	481.8520562	11	RH_DT_Col_0_En	DT	Col_0	En
ASV213	8	0.303191489	376.4064381	8	RH_DT_Col_0_En	DT	Col_0	En
ASV534	5	0.257336343	17.25093525	5	RH_DT_Col_0_En	DT	Col_0	En
ASV550	5	0.257336343	17.25093525	5	RH_DT_Col_0_En	DT	Col_0	En
ASV1431	13	0.296875	951.454284	13	RH_DT_Col_0_En	DT	Col_0	En
ASV17	17	0.295336788	500.7423979	17	RH_DT_Col_0_En	DT	Col_0	En
ASV33	13	0.321126761	1029.777023	13	RH_DT_Col_0_En	DT	Col_0	En
ASV173	12	0.305630027	130.0564388	12	RH_DT_Col_0_En	DT	Col_0	En
ASV259	12	0.305630027	130.0564388	12	RH_DT_Col_0_En	DT	Col_0	En
ASV262	12	0.305630027	130.0564388	12	RH_DT_Col_0_En	DT	Col_0	En
ASV1423	12	0.305630027	130.0564388	12	RH_DT_Col_0_En	DT	Col_0	En
ASV3345	12	0.305630027	130.0564388	12	RH_DT_Col_0_En	DT	Col_0	En
ASV26	9	0.239495798	67.54020296	9	RH_DT_Col_0_En	DT	Col_0	En
