"ASVID","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV3","Bacteria","Gammaproteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Pseudoduganella","Unclassified"
"ASV4","Bacteria","Gammaproteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","f_Oxalobacteraceae|g_Unclassified","Unclassified"
"ASV5","Bacteria","Gammaproteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","f_Oxalobacteraceae|g_Unclassified","Unclassified"
"ASV6","Bacteria","Gammaproteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Pelomonas","Unclassified"
"ASV7","Bacteria","Gammaproteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Pseudoduganella","Pseudoduganella_violaceinigra"
"ASV8","Bacteria","Firmicutes","Bacillales","Bacillales","Bacillaceae","Bacillus","Unclassified"
"ASV9","Bacteria","Gammaproteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","f_Rhodocyclaceae|g_Unclassified","Unclassified"
"ASV10","Bacteria","Actinobacteriota","Rubrobacterales","Rubrobacterales","Rubrobacteriaceae","Rubrobacter","Unclassified"
"ASV11","Bacteria","Gammaproteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","f_Comamonadaceae|g_Unclassified","Unclassified"
"ASV12","Bacteria","Alphaproteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","f_Xanthobacteraceae|g_Unclassified","Unclassified"
"ASV13","Bacteria","Gammaproteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","f_Comamonadaceae|g_Unclassified","Unclassified"
"ASV14","Bacteria","Actinobacteriota","Rubrobacterales","Rubrobacterales","Rubrobacteriaceae","Rubrobacter","uncultured_organism"
"ASV15","Bacteria","Actinobacteriota","Rubrobacterales","Rubrobacterales","Rubrobacteriaceae","Rubrobacter","uncultured_organism"
"ASV16","Bacteria","Gammaproteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Pelomonas","uncultured_Comamonadaceae"
"ASV17","Bacteria","Alphaproteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","f_Rhizobiaceae|g_Unclassified","Unclassified"
"ASV18","Bacteria","Alphaproteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","Unclassified"
"ASV19","Bacteria","Alphaproteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","Unclassified"
"ASV20","Bacteria","Firmicutes","Bacillales","Bacillales","o_Bacillales|f_Unclassified","o_Bacillales|f_|g_Unclassified","Unclassified"
"ASV21","Bacteria","Gammaproteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","f_Comamonadaceae|g_Unclassified","Unclassified"
"ASV22","Bacteria","Alphaproteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Asticcacaulis","Asticcacaulis_biprosthecum"
"ASV23","Bacteria","Gammaproteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","f_Comamonadaceae|g_Unclassified","Unclassified"
"ASV24","Bacteria","Alphaproteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","f_Rhizobiaceae|g_Unclassified","Unclassified"
"ASV25","Bacteria","Gammaproteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","f_Oxalobacteraceae|g_Unclassified","Unclassified"
"ASV26","Bacteria","Gammaproteobacteria","Gammaproteobacteria","Burkholderiales","o_Burkholderiales|f_Unclassified","o_Burkholderiales|f_|g_Unclassified","Unclassified"
"ASV28","Bacteria","Gammaproteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","f_Rhodocyclaceae|g_Unclassified","Unclassified"
"ASV29","Bacteria","Bacteroidota","Cytophagales","Cytophagales","Microscillaceae","f_Microscillaceae|g_Unclassified","Unclassified"
"ASV30","Bacteria","Alphaproteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","f_Devosiaceae|g_Unclassified","Unclassified"
"ASV31","Bacteria","Gammaproteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Duganella","uncultured_soil"
"ASV32","Bacteria","Gammaproteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Pseudoduganella","Unclassified"
"ASV34","Bacteria","Gammaproteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","f_Oxalobacteraceae|g_Unclassified","Unclassified"
"ASV35","Bacteria","Bacteroidota","Cytophagales","Cytophagales","Microscillaceae","f_Microscillaceae|g_Unclassified","Unclassified"
"ASV36","Bacteria","Gammaproteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","f_Rhodocyclaceae|g_Unclassified","Unclassified"
"ASV37","Bacteria","Gammaproteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","Unclassified"
"ASV38","Bacteria","Gammaproteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","f_Comamonadaceae|g_Unclassified","Unclassified"
"ASV39","Bacteria","Chloroflexi","Chloroflexales","Chloroflexales","Roseiflexaceae","f_Roseiflexaceae|g_uncultured","uncultured_Chloroflexaceae"
"ASV40","Bacteria","Gammaproteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","f_Comamonadaceae|g_Unclassified","Unclassified"
"ASV41","Bacteria","Bacteroidota","Cytophagales","Cytophagales","Microscillaceae","Ohtaekwangia","Chryseolinea_flava"
"ASV42","Bacteria","Actinobacteriota","Streptomycetales","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces_regensis"
"ASV43","Bacteria","Gammaproteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","f_Comamonadaceae|g_Unclassified","Unclassified"
"ASV44","Bacteria","Bacteroidota","Chitinophagales","Chitinophagales","Chitinophagaceae","Niastella","Unclassified"
"ASV45","Bacteria","Alphaproteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","f_Rhizobiaceae|g_Unclassified","Unclassified"
"ASV46","Bacteria","Alphaproteobacteria","Alphaproteobacteria","Rhizobiales","Methyloligellaceae","f_Methyloligellaceae|g_Unclassified","Unclassified"
"ASV47","Bacteria","Bacteroidota","Flavobacteriales","Flavobacteriales","Crocinitomicaceae","Fluviicola","uncultured_proteobacterium"
"ASV48","Bacteria","Bacteroidota","Cytophagales","Cytophagales","Microscillaceae","f_Microscillaceae|g_Unclassified","Unclassified"
"ASV49","Bacteria","Alphaproteobacteria","Alphaproteobacteria","Azospirillales","Azospirillaceae","Azospirillum","Unclassified"
"ASV50","Bacteria","Gammaproteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","f_Comamonadaceae|g_Unclassified","Unclassified"
"ASV51","Bacteria","Gammaproteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","f_Comamonadaceae|g_uncultured","uncultured_Bacteroidetes"
"ASV52","Bacteria","Bacteroidota","Cytophagales","Cytophagales","Microscillaceae","f_Microscillaceae|g_Unclassified","Unclassified"
"ASV53","Bacteria","Gammaproteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","f_Rhodocyclaceae|g_Unclassified","Unclassified"
"ASV54","Bacteria","Alphaproteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","f_Xanthobacteraceae|g_uncultured","Unclassified"
"ASV55","Bacteria","Gammaproteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","f_Comamonadaceae|g_Unclassified","Unclassified"
"ASV56","Bacteria","Alphaproteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium","Unclassified"
"ASV57","Bacteria","Alphaproteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium","Unclassified"
"ASV59","Bacteria","Alphaproteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","f_Xanthobacteraceae|g_uncultured","Unclassified"
