num,batch,date,isolates,plot,position,measure,value
1,20240423,11d,buffer,1,1,DRI,5
2,20240423,11d,buffer,1,2,DRI,5
3,20240423,11d,buffer,1,3,DRI,5
4,20240423,11d,buffer,1,4,DRI,5
5,20240423,11d,buffer,1,5,DRI,4.5
6,20240423,11d,buffer,1,1,DRI,5
7,20240423,11d,buffer,1,2,DRI,5
8,20240423,11d,buffer,1,3,DRI,5
9,20240423,11d,buffer,1,4,DRI,5
10,20240423,11d,buffer,1,5,DRI,4.5
11,20240423,11d,buffer,2,1,DRI,5
12,20240423,11d,buffer,2,2,DRI,5
13,20240423,11d,buffer,2,3,DRI,5
14,20240423,11d,buffer,2,4,DRI,5
15,20240423,11d,buffer,2,5,DRI,5
16,20240423,11d,buffer,2,1,DRI,5
17,20240423,11d,buffer,2,2,DRI,5
18,20240423,11d,buffer,2,3,DRI,5
19,20240423,11d,buffer,2,4,DRI,5
20,20240423,11d,buffer,2,5,DRI,4.5
21,20240423,11d,4F10,1,1,DRI,5
22,20240423,11d,4F10,1,2,DRI,5
23,20240423,11d,4F10,1,3,DRI,5
24,20240423,11d,4F10,1,4,DRI,5
25,20240423,11d,4F10,1,5,DRI,5
26,20240423,11d,4F10,1,1,DRI,5
27,20240423,11d,4F10,1,2,DRI,5
28,20240423,11d,4F10,1,3,DRI,5
29,20240423,11d,4F10,1,4,DRI,5
30,20240423,11d,4F10,1,5,DRI,5
31,20240423,11d,4F10,2,1,DRI,5
32,20240423,11d,4F10,2,2,DRI,5
33,20240423,11d,4F10,2,3,DRI,5
34,20240423,11d,4F10,2,4,DRI,5
35,20240423,11d,4F10,2,5,DRI,5
36,20240423,11d,4F10,2,1,DRI,5
37,20240423,11d,4F10,2,2,DRI,5
38,20240423,11d,4F10,2,3,DRI,5
39,20240423,11d,4F10,2,4,DRI,5
40,20240423,11d,4F10,2,5,DRI,5
41,20240423,11d,5A12,1,1,DRI,5
42,20240423,11d,5A12,1,2,DRI,5
43,20240423,11d,5A12,1,3,DRI,5
44,20240423,11d,5A12,1,4,DRI,5
45,20240423,11d,5A12,1,5,DRI,5
46,20240423,11d,5A12,1,1,DRI,5
47,20240423,11d,5A12,1,2,DRI,5
48,20240423,11d,5A12,1,3,DRI,5
49,20240423,11d,5A12,1,4,DRI,5
50,20240423,11d,5A12,1,5,DRI,5
51,20240423,11d,5A12,2,1,DRI,5
52,20240423,11d,5A12,2,2,DRI,5
53,20240423,11d,5A12,2,3,DRI,5
54,20240423,11d,5A12,2,4,DRI,5
55,20240423,11d,5A12,2,5,DRI,5
56,20240423,11d,5A12,2,1,DRI,4.5
57,20240423,11d,5A12,2,2,DRI,5
58,20240423,11d,5A12,2,3,DRI,5
59,20240423,11d,5A12,2,4,DRI,5
60,20240423,11d,5A12,2,5,DRI,4.5
61,20240423,11d,10C12,1,1,DRI,5
62,20240423,11d,10C12,1,2,DRI,5
63,20240423,11d,10C12,1,3,DRI,5
64,20240423,11d,10C12,1,4,DRI,5
65,20240423,11d,10C12,1,5,DRI,4
66,20240423,11d,10C12,1,1,DRI,5
67,20240423,11d,10C12,1,2,DRI,5
68,20240423,11d,10C12,1,3,DRI,5
69,20240423,11d,10C12,1,4,DRI,5
70,20240423,11d,10C12,1,5,DRI,5
71,20240423,11d,10C12,2,1,DRI,5
72,20240423,11d,10C12,2,2,DRI,5
73,20240423,11d,10C12,2,3,DRI,5
74,20240423,11d,10C12,2,4,DRI,4.5
75,20240423,11d,10C12,2,5,DRI,4.5
76,20240423,11d,10C12,2,1,DRI,5
77,20240423,11d,10C12,2,2,DRI,5
78,20240423,11d,10C12,2,3,DRI,5
79,20240423,11d,10C12,2,4,DRI,5
80,20240423,11d,10C12,2,5,DRI,4
81,20240423,11d,gl2,1,1,DRI,5
82,20240423,11d,gl2,1,2,DRI,5
83,20240423,11d,gl2,1,3,DRI,5
84,20240423,11d,gl2,1,4,DRI,5
85,20240423,11d,gl2,1,5,DRI,5
86,20240423,11d,gl2,1,1,DRI,5
87,20240423,11d,gl2,1,2,DRI,5
88,20240423,11d,gl2,1,3,DRI,5
89,20240423,11d,gl2,1,4,DRI,5
90,20240423,11d,gl2,1,5,DRI,5
91,20240423,11d,gl2,2,1,DRI,5
92,20240423,11d,gl2,2,2,DRI,5
93,20240423,11d,gl2,2,3,DRI,5
94,20240423,11d,gl2,2,4,DRI,5
95,20240423,11d,gl2,2,5,DRI,5
96,20240423,11d,gl2,2,1,DRI,5
97,20240423,11d,gl2,2,2,DRI,5
98,20240423,11d,gl2,2,3,DRI,5
99,20240423,11d,gl2,2,4,DRI,5
100,20240423,11d,gl2,2,5,DRI,5
101,20240423,11d,AR,1,1,DRI,5
102,20240423,11d,AR,1,2,DRI,5
103,20240423,11d,AR,1,3,DRI,5
104,20240423,11d,AR,1,4,DRI,5
105,20240423,11d,AR,1,5,DRI,4.5
106,20240423,11d,AR,1,1,DRI,5
107,20240423,11d,AR,1,2,DRI,5
108,20240423,11d,AR,1,3,DRI,5
109,20240423,11d,AR,1,4,DRI,5
110,20240423,11d,AR,1,5,DRI,5
111,20240423,11d,AR,2,1,DRI,4.5
112,20240423,11d,AR,2,2,DRI,5
113,20240423,11d,AR,2,3,DRI,5
114,20240423,11d,AR,2,4,DRI,5
115,20240423,11d,AR,2,5,DRI,5
